iter	Passed	Remaining
674	3374	3124
675	3377	3118
676	3382	3112
677	3386	3107
678	3389	3100
679	3395	3095
680	3400	3090
681	3404	3085
682	3410	3080
683	3414	3075
684	3419	3070
685	3423	3064
686	3428	3059
687	3432	3053
688	3437	3048
689	3442	3043
690	3449	3040
691	3454	3034
692	3458	3029
693	3462	3023
694	3469	3020
695	3474	3015
696	3480	3010
697	3484	3005
698	3489	3000
699	3496	2996
700	3499	2990
701	3503	2984
702	3508	2979
703	3513	2974
704	3517	2968
705	3522	2963
706	3526	2958
707	3531	2952
708	3535	2946
709	3540	2941
710	3546	2938
711	3551	2932
712	3555	2927
713	3561	2922
714	3565	2917
715	3568	2910
716	3572	2904
717	3576	2899
718	3580	2893
719	3584	2887
720	3588	2881
721	3593	2876
722	3598	2871
723	3602	2866
724	3606	2860
725	3610	2854
726	3615	2849
727	3619	2844
728	3624	2838
729	3629	2833
730	3632	2827
731	3637	2822
732	3641	2816
733	3646	2811
734	3650	2805
735	3657	2802
736	3661	2797
737	3666	2791
738	3671	2786
739	3678	2783
740	3683	2778
741	3687	2773
742	3693	2768
743	3698	2763
744	3702	2757
745	3706	2752
746	3711	2747
747	3715	2741
748	3719	2736
749	3723	2730
750	3727	2725
751	3734	2721
752	3739	2716
753	3743	2711
754	3747	2705
755	3752	2700
756	3757	2695
757	3760	2689
758	3764	2683
759	3769	2678
760	3774	2673
761	3776	2666
762	3781	2661
763	3785	2655
764	3790	2650
765	3794	2645
766	3796	2638
767	3801	2633
768	3804	2627
769	3808	2621
770	3812	2615
771	3816	2610
772	3821	2605
773	3828	2601
774	3831	2595
775	3836	2590
776	3841	2585
777	3844	2579
778	3850	2575
779	3856	2570
780	3860	2565
781	3867	2562
782	3874	2558
783	3878	2552
784	3882	2547
785	3886	2541
786	3890	2536
787	3894	2530
788	3898	2524
789	3901	2518
790	3904	2512
791	3910	2508
792	3914	2502
793	3918	2497
794	3922	2491
795	3926	2486
796	3931	2480
797	3935	2475
798	3941	2471
799	3945	2465
800	3949	2460
801	3955	2455
802	3959	2450
803	3962	2444
804	3966	2439
805	3970	2433
806	3972	2426
807	3976	2421
808	3980	2416
809	3985	2411
810	3989	2405
811	3993	2400
812	3998	2395
813	4002	2389
814	4005	2383
815	4008	2377
816	4013	2372
817	4016	2366
818	4020	2361
819	4023	2355
820	4028	2350
821	4032	2344
822	4034	2338
823	4038	2332
824	4041	2327
825	4045	2321
826	4049	2316
827	4054	2311
828	4060	2306
829	4063	2301
830	4067	2295
831	4074	2291
832	4081	2288
833	4086	2283
834	4091	2278
835	4095	2272
836	4098	2267
837	4101	2261
838	4106	2256
839	4110	2250
840	4115	2246
841	4119	2240
842	4124	2235
843	4128	2230
844	4132	2225
845	4138	2220
846	4142	2215
847	4147	2210
848	4152	2206
849	4159	2202
850	4163	2196
851	4165	2190
852	4173	2187
853	4179	2182
854	4183	2177
855	4187	2171
856	4193	2167
857	4201	2164
858	4207	2160
859	4215	2156
860	4222	2152
861	4229	2149
862	4243	2148
863	4251	2145
864	4257	2141
865	4265	2137
866	4272	2133
867	4286	2133
868	4291	2128
869	4297	2123
870	4300	2118
871	4304	2112
872	4308	2107
873	4312	2102
874	4316	2096
875	4320	2091
876	4325	2086
877	4329	2080
878	4334	2075
879	4338	2070
880	4342	2065
881	4347	2060
882	4351	2055
883	4354	2049
884	4358	2043
885	4363	2038
886	4367	2033
887	4371	2028
888	4375	2022
889	4378	2017
890	4383	2012
891	4387	2007
892	4391	2001
893	4395	1995
894	4398	1990
895	4403	1985
896	4407	1980
897	4411	1974
898	4415	1969
899	4419	1964
900	4424	1959
901	4428	1954
902	4433	1949
903	4438	1944
904	4442	1939
905	4446	1933
906	4450	1928
907	4455	1923
908	4460	1918
909	4464	1913
910	4468	1908
911	4472	1902
912	4476	1897
913	4479	1891
914	4484	1886
915	4490	1882
916	4496	1877
917	4501	1873
918	4507	1868
919	4512	1863
920	4516	1858
921	4519	1853
922	4523	1847
923	4527	1842
924	4531	1837
925	4535	1831
926	4541	1827
927	4544	1821
928	4550	1817
929	4553	1811
930	4558	1806
931	4562	1801
932	4567	1796
933	4569	1790
934	4574	1785
935	4578	1780
936	4582	1775
937	4586	1770
938	4591	1765
939	4595	1760
940	4599	1754
941	4602	1749
942	4607	1744
943	4610	1738
944	4615	1733
945	4619	1728
946	4623	1723
947	4628	1718
948	4633	1713
949	4639	1709
950	4643	1704
951	4648	1699
952	4652	1693
953	4655	1688
954	4659	1683
955	4665	1678
956	4669	1673
957	4674	1668
958	4680	1664
959	4686	1659
960	4693	1655
961	4696	1650
962	4700	1645
963	4703	1639
964	4708	1634
965	4711	1628
966	4715	1623
967	4720	1618
968	4723	1613
969	4728	1608
970	4732	1603
971	4737	1598
972	4742	1593
973	4748	1589
974	4752	1584
975	4755	1578
976	4760	1573
977	4766	1569
978	4770	1564
979	4775	1559
980	4781	1554
981	4785	1549
982	4788	1544
983	4792	1538
984	4795	1533
985	4799	1528
986	4803	1523
987	4807	1518
988	4810	1512
989	4815	1507
990	4819	1502
991	4825	1498
992	4829	1493
993	4833	1488
994	4839	1483
995	4845	1478
996	4848	1473
997	4852	1468
998	4856	1463
999	4860	1458
1000	4864	1452
1001	4869	1448
1002	4873	1443
1003	4876	1437
1004	4881	1432
1005	4887	1428
1006	4892	1423
1007	4898	1419
1008	4901	1413
1009	4907	1409
1010	4912	1404
1011	4916	1399
1012	4921	1394
1013	4926	1389
1014	4930	1384
1015	4934	1379
1016	4938	1374
1017	4942	1369
1018	4946	1364
1019	4951	1359
1020	4955	1354
1021	4959	1349
1022	4964	1344
1023	4968	1339
1024	4972	1334
1025	4976	1329
1026	4980	1324
1027	4985	1319
1028	4990	1314
1029	4994	1309
1030	4999	1304
1031	5003	1299
1032	5007	1294
1033	5011	1289
1034	5015	1284
1035	5021	1279
1036	5026	1274
1037	5030	1269
1038	5034	1264
1039	5038	1259
1040	5042	1254
1041	5046	1249
1042	5052	1244
1043	5055	1239
1044	5063	1235
1045	5068	1230
1046	5074	1226
1047	5078	1221
1048	5086	1217
1049	5090	1212
1050	5094	1206
1051	5097	1201
1052	5101	1196
1053	5106	1191
1054	5110	1186
1055	5114	1181
1056	5117	1176
1057	5121	1171
1058	5126	1166
1059	5133	1162
1060	5136	1157
1061	5140	1152
1062	5143	1146
1063	5147	1141
1064	5152	1136
1065	5157	1132
1066	5161	1127
1067	5166	1122
1068	5169	1117
1069	5173	1112
1070	5176	1106
1071	5181	1101
1072	5185	1097
1073	5188	1091
1074	5193	1086
1075	5196	1081
1076	5201	1077
1077	5205	1072
1078	5209	1067
1079	5213	1062
1080	5218	1057
1081	5222	1052
1082	5226	1047
1083	5232	1042
1084	5235	1037
1085	5240	1032
1086	5244	1027
1087	5248	1022
1088	5252	1017
1089	5256	1012
1090	5259	1007
1091	5264	1002
1092	5268	997
1093	5273	992
1094	5277	988
1095	5283	983
1096	5289	978
1097	5295	974
1098	5301	969
1099	5306	964
1100	5309	959
1101	5314	954
1102	5318	949
1103	5321	944
1104	5326	939
1105	5331	935
1106	5335	930
1107	5339	925
1108	5343	920
1109	5348	915
1110	5352	910
1111	5356	905
1112	5360	900
1113	5365	895
1114	5369	890
1115	5373	885
1116	5377	881
1117	5381	876
1118	5388	871
1119	5392	866
1120	5397	861
1121	5400	856
1122	5404	851
1123	5408	846
1124	5412	842
1125	5417	837
1126	5421	832
1127	5425	827
1128	5428	822
1129	5432	817
1130	5438	812
1131	5445	808
1132	5449	803
1133	5454	798
1134	5459	793
1135	5464	788
1136	5469	784
1137	5476	779
1138	5480	774
1139	5484	769
1140	5490	765
1141	5497	760
1142	5503	755
1143	5507	751
1144	5512	746
1145	5517	741
1146	5522	736
1147	5526	731
1148	5530	726
1149	5536	722
1150	5540	717
1151	5544	712
1152	5548	707
1153	5552	702
1154	5556	697
1155	5561	692
1156	5564	687
1157	5568	682
1158	5572	677
1159	5576	672
1160	5580	668
1161	5585	663
1162	5588	658
1163	5592	653
1164	5597	648
1165	5601	643
1166	5605	638
1167	5610	634
1168	5614	629
1169	5618	624
1170	5622	619
1171	5627	614
1172	5631	609
1173	5636	604
1174	5641	600
1175	5645	595
1176	5649	590
1177	5652	585
1178	5657	580
1179	5661	575
1180	5667	571
1181	5671	566
1182	5675	561
1183	5683	556
1184	5689	552
1185	5694	547
1186	5699	542
1187	5703	537
1188	5707	532
1189	5711	527
1190	5716	523
1191	5721	518
1192	5724	513
1193	5728	508
1194	5732	503
1195	5735	498
1196	5740	493
1197	5743	489
1198	5748	484
1199	5753	479
1200	5757	474
1201	5761	469
1202	5766	464
1203	5770	460
1204	5776	455
1205	5780	450
1206	5784	445
1207	5789	440
1208	5794	436
1209	5798	431
1210	5802	426
1211	5806	421
1212	5811	416
1213	5816	412
1214	5820	407
1215	5823	402
1216	5827	397
1217	5832	392
1218	5835	387
1219	5841	383
1220	5845	378
1221	5848	373
1222	5853	368
1223	5858	363
1224	5862	358
1225	5866	354
1226	5872	349
1227	5877	344
1228	5881	339
1229	5888	335
1230	5895	330
1231	5901	325
1232	5905	320
1233	5909	316
1234	5914	311
1235	5918	306
1236	5922	301
1237	5927	296
1238	5931	292
1239	5935	287
1240	5939	282
1241	5943	277
1242	5947	272
1243	5951	267
1244	5955	263
1245	5959	258
1246	5963	253
1247	5968	248
1248	5973	243
1249	5977	239
1250	5981	234
1251	5985	229
1252	5989	224
1253	5994	219
1254	5998	215
1255	6002	210
1256	6007	205
1257	6012	200
1258	6017	195
1259	6021	191
1260	6026	186
1261	6029	181
1262	6032	176
1263	6035	171
1264	6040	167
1265	6043	162
1266	6047	157
1267	6051	152
1268	6055	147
1269	6059	143
1270	6063	138
1271	6067	133
1272	6071	128
1273	6077	124
1274	6080	119
1275	6085	114
1276	6090	109
1277	6097	104
1278	6101	100
1279	6105	95
1280	6110	90
1281	6114	85
1282	6119	81
1283	6123	76
1284	6127	71
1285	6132	66
1286	6136	61
1287	6141	57
1288	6144	52
1289	6148	47
1290	6153	42
1291	6158	38
1292	6162	33
1293	6165	28
1294	6170	23
1295	6175	19
1296	6178	14
1297	6183	9
1298	6187	4
1299	6191	0
